Started Parsing raw log files
Number of files: 2
Opened 1.log.log
NewTask 2 | added to participant #1
MoveBlock 354729496 | added to participant #1
MoveBlock 354729496 | added to participant #1
EndDragBlock 354729496 | added to participant #1
MouseReleased | added to participant #1
NewTask 27 | added to participant #1
CreateBlock 1861613802 | added to participant #1
StartDragBlock 1861613802 | added to participant #1
MoveBlock 1861613802 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1861613802 | added to participant #1
MoveBlock 1861613802 | added to participant #1
MoveBlock 1861613802 | added to participant #1
MoveBlock 1861613802 | added to participant #1
MoveBlock 1861613802 | added to participant #1
MoveBlock 1861613802 | added to participant #1
MoveBlock 1861613802 | added to participant #1
EndDragBlock 1861613802 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 1915276731 | added to participant #1
StartDragBlock 1915276731 | added to participant #1
MoveBlock 1915276731 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1915276731 | added to participant #1
MoveBlock 1915276731 | added to participant #1
MoveBlock 1915276731 | added to participant #1
MoveBlock 1915276731 | added to participant #1
MoveBlock 1915276731 | added to participant #1
MoveBlock 1915276731 | added to participant #1
MoveBlock 1915276731 | added to participant #1
MoveBlock 1915276731 | added to participant #1
MoveBlock 1915276731 | added to participant #1
MoveBlock 1915276731 | added to participant #1
MoveBlock 1915276731 | added to participant #1
MoveBlock 1915276731 | added to participant #1
MoveBlock 1915276731 | added to participant #1
EndDragBlock 1915276731 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 1452504275 | added to participant #1
StartDragBlock 1452504275 | added to participant #1
MoveBlock 1452504275 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1452504275 | added to participant #1
MoveBlock 1452504275 | added to participant #1
MoveBlock 1452504275 | added to participant #1
MoveBlock 1452504275 | added to participant #1
MoveBlock 1452504275 | added to participant #1
MoveBlock 1452504275 | added to participant #1
MoveBlock 1452504275 | added to participant #1
EndDragBlock 1452504275 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 1292770722 | added to participant #1
StartDragBlock 1292770722 | added to participant #1
MoveBlock 1292770722 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1292770722 | added to participant #1
MoveBlock 1292770722 | added to participant #1
MoveBlock 1292770722 | added to participant #1
MoveBlock 1292770722 | added to participant #1
MoveBlock 1292770722 | added to participant #1
MoveBlock 1292770722 | added to participant #1
MoveBlock 1292770722 | added to participant #1
MoveBlock 1292770722 | added to participant #1
MoveBlock 1292770722 | added to participant #1
MoveBlock 1292770722 | added to participant #1
MoveBlock 1292770722 | added to participant #1
MoveBlock 1292770722 | added to participant #1
MoveBlock 1292770722 | added to participant #1
MoveBlock 1292770722 | added to participant #1
MoveBlock 1292770722 | added to participant #1
EndDragBlock 1292770722 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 1150646122 | added to participant #1
StartDragBlock 1150646122 | added to participant #1
MoveBlock 1150646122 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1150646122 | added to participant #1
MoveBlock 1150646122 | added to participant #1
MoveBlock 1150646122 | added to participant #1
MoveBlock 1150646122 | added to participant #1
MoveBlock 1150646122 | added to participant #1
MoveBlock 1150646122 | added to participant #1
EndDragBlock 1150646122 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 1602614455 | added to participant #1
StartDragBlock 1602614455 | added to participant #1
MoveBlock 1602614455 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1602614455 | added to participant #1
MoveBlock 1602614455 | added to participant #1
MoveBlock 1602614455 | added to participant #1
MoveBlock 1602614455 | added to participant #1
MoveBlock 1602614455 | added to participant #1
MoveBlock 1602614455 | added to participant #1
MoveBlock 1602614455 | added to participant #1
MoveBlock 1602614455 | added to participant #1
MoveBlock 1602614455 | added to participant #1
